conflict_id,country,location,side_a,side_b,year,region_label,intensity_level,intensity_label,conflict_type_label,lat,lon
200,Bolivia,Bolivia,Government of Bolivia,Popular Revolutionary Movement,1946,Americas,2,War,Intrastate,-14,-60
201,Cambodia (Kampuchea),Cambodia (Kampuchea),Government of France,Khmer Issarak,1946,Asia,1,Minor Conflict,Extrasystemic,34,90
202,China,China,Government of China,PLA,1946,Asia,2,War,Intrastate,34,90
203,Greece,Greece,Government of Greece,DSE,1946,Europe,2,War,Intrastate,54,25
204,Indonesia,Indonesia,Government of Netherlands,Indonesian People's Army,1946,Asia,1,Minor Conflict,Extrasystemic,34,90
205,Iran,Iran,Government of Iran,KDPI,1946,Middle East,1,Minor Conflict,Internationalized Intrastate,29,42
206,Iran,Iran,Government of Iran,Republic of Azerbaijan,1946,Middle East,1,Minor Conflict,Internationalized Intrastate,29,42
207,Israel,Israel,Government of United Kingdom,IZL [Etzel],1946,Middle East,1,Minor Conflict,Extrasystemic,29,42
208,Laos,Laos,Government of France,Lao Issara,1946,Asia,1,Minor Conflict,Extrasystemic,34,90
209,Philippines,Philippines,Government of Philippines,Huk,1946,Asia,2,War,Intrastate,34,90
210,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),Forest Brothers,1946,Europe,1,Minor Conflict,Intrastate,54,25
211,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),"LNPA, LTS(p)A",1946,Europe,1,Minor Conflict,Intrastate,54,25
212,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),BDPS,1946,Europe,2,War,Intrastate,54,25
213,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),UPA,1946,Europe,2,War,Intrastate,54,25
215,Albania,"Albania, United Kingdom",Government of Albania,Government of United Kingdom,1946,Europe,1,Minor Conflict,Interstate,54,25
216,Vietnam (North Vietnam),Vietnam (North Vietnam),Government of France,Viet minh,1946,Asia,2,War,Extrasystemic,34,90
11884,Hyderabad,Hyderabad,Government of Hyderabad,CPI,1947,Asia,2,War,Intrastate,34,90
201,Cambodia (Kampuchea),Cambodia (Kampuchea),Government of France,Khmer Issarak,1947,Asia,1,Minor Conflict,Extrasystemic,34,90
202,China,China,Government of China,PLA,1947,Asia,2,War,Intrastate,34,90
203,Greece,Greece,Government of Greece,DSE,1947,Europe,2,War,Intrastate,54,25
204,Indonesia,Indonesia,Government of Netherlands,Indonesian People's Army,1947,Asia,1,Minor Conflict,Extrasystemic,34,90
208,Laos,Laos,Government of France,Lao Issara,1947,Asia,1,Minor Conflict,Extrasystemic,34,90
209,Philippines,Philippines,Government of Philippines,Huk,1947,Asia,2,War,Intrastate,34,90
210,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),Forest Brothers,1947,Europe,1,Minor Conflict,Intrastate,54,25
212,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),BDPS,1947,Europe,2,War,Intrastate,54,25
