conflict_id,location,conflict_type,outcome_order,support_label,support_order,region_label,c_ep_dur,c_ep_startyear,c_ep_endyear
201,Cambodia (Kampuchea),Extrasystemic,1,No External Support,1,Asia,8,1946,1953
204,Indonesia,Extrasystemic,1,No External Support,1,Asia,4,1946,1949
214,"France, Thailand",Interstate,1,No External Support,1,NA,1,1946,1946
216,Vietnam (North Vietnam),Extrasystemic,1,No External Support,1,Asia,9,1946,1954
244,Morocco,Extrasystemic,1,No External Support,1,Africa,4,1953,1956
246,Algeria,Extrasystemic,1,No External Support,1,Africa,9,1954,1962
248,Cyprus,Extrasystemic,1,No External Support,1,Europe,5,1955,1959
255,"Honduras, Nicaragua",Interstate,1,No External Support,1,Americas,1,1957,1957
272,"France, Tunisia",Interstate,1,No External Support,1,NA,1,1961,1961
276,"Indonesia, Netherlands",Interstate,1,No External Support,1,NA,1,1962,1962
278,"Algeria, Morocco",Interstate,1,No External Support,1,Africa,1,1963,1963
279,Guinea-Bissau,Extrasystemic,1,No External Support,1,Africa,11,1963,1973
281,"Indonesia, Malaysia",Interstate,1,No External Support,1,Asia,4,1963,1966
282,Sudan,Intrastate,1,No External Support,1,Africa,10,1963,1972
285,Mozambique,Extrasystemic,1,No External Support,1,Africa,11,1964,1974
286,South Yemen,Extrasystemic,1,No External Support,1,Middle East,4,1964,1967
373,Niger,Intrastate,1,No External Support,1,Africa,1,1994,1994
403,"Ecuador, Peru",Interstate,1,No External Support,1,Americas,1,1995,1995
13324,"Kyrgyzstan, Tajikistan",Interstate,1,No External Support,1,Asia,2,2021,2022
215,"Albania, United Kingdom",Interstate,2,No External Support,1,Europe,1,1946,1946
228,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria",Interstate,2,No External Support,1,Middle East,2,1948,1949
235,"North Korea, South Korea",Interstate,2,No External Support,1,Asia,5,1949,1953
243,Indonesia,Intrastate,2,No External Support,1,Asia,4,1958,1961
252,"Egypt, France, Israel, United Kingdom",Interstate,2,No External Support,1,NA,1,1956,1956
274,"China, India",Interstate,2,No External Support,1,Asia,1,2020,2020
302,"Israel, Syria",Interstate,2,No External Support,1,Middle East,1,1973,1973
306,"El Salvador, Honduras",Interstate,2,No External Support,1,Americas,1,1969,1969
323,"Cyprus, Turkey",Interstate,2,No External Support,1,NA,1,1974,1974
356,"Laos, Thailand",Interstate,2,No External Support,1,Asia,3,1986,1988
357,Suriname,Intrastate,2,No External Support,1,Americas,1,1987,1987
384,Serbia (Yugoslavia),Intrastate,2,No External Support,1,Europe,1,1991,1991
400,Mexico,Intrastate,2,No External Support,1,Americas,1,1994,1994
425,Nigeria,Intrastate,2,No External Support,1,Africa,1,2004,2004
11343,"Egypt, Israel",Interstate,2,No External Support,1,Middle East,2,1969,1970
14074,Somalia,Intrastate,2,No External Support,1,Africa,1,2018,2018
200,Bolivia,Intrastate,3,No External Support,1,Americas,1,1949,1949
200,Bolivia,Intrastate,3,No External Support,1,Americas,1,1967,1967
203,Greece,Intrastate,3,No External Support,1,Europe,4,1946,1949
206,Iran,Internationalized Intrastate,3,No External Support,1,Middle East,1,1946,1946
217,China,Intrastate,3,No External Support,1,Asia,1,1947,1947
219,Madagascar (Malagasy),Extrasystemic,3,No External Support,1,Africa,1,1947,1947
220,Paraguay,Intrastate,3,No External Support,1,Americas,1,1947,1947
236,China,Intrastate,3,No External Support,1,Asia,1,1950,1950
236,China,Intrastate,3,No External Support,1,Asia,1,1959,1959
237,Indonesia,Intrastate,3,No External Support,1,Asia,1,1950,1950
238,United States of America,Extrasystemic,3,No External Support,1,Americas,1,1950,1950
241,Kenya,Extrasystemic,3,No External Support,1,Africa,5,1952,1956
242,Cuba,Intrastate,3,No External Support,1,Americas,1,1953,1953
242,Cuba,Internationalized Intrastate,3,No External Support,1,Americas,1,1961,1961
256,"Mauritania, Morocco",Extrasystemic,3,No External Support,1,Africa,2,1957,1958
257,"Mauritania, Morocco",Extrasystemic,3,No External Support,1,Africa,2,1957,1958
258,Oman,Internationalized Intrastate,3,No External Support,1,Middle East,1,1957,1957
266,DR Congo (Zaire),Intrastate,3,No External Support,1,Africa,3,1960,1962
270,France,Intrastate,3,No External Support,1,Europe,2,1961,1962
273,Brunei,Extrasystemic,3,No External Support,1,Asia,1,1962,1962
