conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,type_of_conflict2,c_epid,c_epno,c_ep_startyear,c_epterm,c_outcome,c_ep_endyear,c_ependdate,c_ependprec,c_ep_durcount,c_ep_dur,version,conflict_type,termination_outcome,any_support,support_count,support_label
200,Bolivia,Government of Bolivia,23,NA,Popular Revolutionary Movement,719,NA,2,NA,1946,2,1,3,1946-07-18,1,1946-07-21,2,145,NA,NA,NA,145,5,3,20001,1,1946,1,4,1946,1946-07-21,1,1,1,4.2024002,Intrastate,Low Activity,NA,NA,No External Support
200,Bolivia,Government of Bolivia,23,NA,MNR,720,NA,2,NA,1949,1,1,3,1946-07-18,1,1949-09-15,3,145,NA,NA,NA,145,5,3,20002,2,1949,1,3,1949,1949-09-16,1,1,1,4.2024002,Intrastate,Victory,NA,NA,No External Support
200,Bolivia,Government of Bolivia,23,NA,MNR,720,NA,2,NA,1952,1,1,3,1946-07-18,1,1952-04-09,1,145,NA,NA,NA,145,5,3,20003,3,1952,1,4,1952,1952-04-12,1,1,1,4.2024002,Intrastate,Low Activity,NA,NA,No External Support
200,Bolivia,Government of Bolivia,23,NA,ELN,721,NA,2,NA,1967,1,1,3,1946-07-18,1,1967-03-31,3,145,NA,NA,NA,145,5,3,20004,4,1967,1,3,1967,1967-10-16,1,1,1,4.2024002,Intrastate,Victory,NA,NA,No External Support
201,Cambodia (Kampuchea),Government of France,33,NA,Khmer Issarak,160,NA,1,Cambodia,1953,1,0,1,1946-08-31,3,1946-08-31,3,220,NA,NA,NA,811,3,1,20101,1,1946,1,1,1953,1953-11-09,1,8,8,4.2024002,Extrasystemic,Peace Agreement,NA,NA,No External Support
202,China,Government of China,135,NA,PLA,161,NA,2,NA,1949,2,1,3,1946-12-31,7,1946-12-31,7,710,NA,NA,NA,710,3,3,20201,1,1946,1,4,1949,1949-12-08,1,4,4,4.2024002,Intrastate,Low Activity,NA,NA,No External Support
203,Greece,Government of Greece,52,NA,DSE,162,NA,2,NA,1949,2,1,3,1946-03-31,4,1946-03-31,4,350,NA,NA,NA,350,1,3,20301,1,1946,1,3,1949,1949-10-16,1,4,4,4.2024002,Intrastate,Victory,NA,NA,No External Support
204,Indonesia,Government of Netherlands,30,NA,Indonesian People's Army,163,NA,1,Indonesia,1949,1,0,1,1945-10-13,2,1946-12-31,5,210,NA,NA,NA,850,3,1,20401,1,1946,1,1,1949,1949-08-15,1,4,4,4.2024002,Extrasystemic,Peace Agreement,NA,NA,No External Support
205,Iran,Government of Iran,114,NA,KDPI,164,Government of Russia (Soviet Union),1,Kurdistan,1946,1,0,4,1946-05-31,3,1946-05-31,3,630,NA,NA,365,630,2,3,20501,1,1946,1,3,1946,1946-12-16,1,1,1,4.2024002,Intl. Intrastate,Victory,1,2,External Support
205,Iran,Government of Iran,114,NA,KDPI,164,NA,1,Kurdistan,1968,1,1,3,1946-05-31,3,1966-12-31,5,630,NA,NA,NA,630,2,3,20502,2,1966,1,5,1968,1968-12-31,5,3,3,4.2024002,Intrastate,Other/Unclear,1,2,External Support
205,Iran,Government of Iran,114,NA,KDPI,164,NA,1,Kurdistan,1988,1,1,3,1946-05-31,3,1979-12-31,5,630,NA,NA,NA,630,2,3,20503,3,1979,1,5,1988,1988-12-31,5,10,10,4.2024002,Intrastate,Other/Unclear,1,2,External Support
